Date,Map,Start,First Pistol,First Rounds,First Half WR,Second Pistol,Second Rounds,Second Half WR,Atk PP,Def PP,Atk 2nd,Def  2nd,Outcome,,,,,,,,,,,,,
26th March 2025,,,,,,,,,,,,,,,,,,,,,,,,,,
Team Secret,Ascent,Attack,0,3,0.25,1,7,0.58,75.00%,20.00%,LL,WW,Loss,,,,,,,,,,,,,
RRQ Academy,Ascent,Attack,1,7,0.67,1,2,0.17,77.78%,0.00%,WW,WL,Loss,,,,,,,,,,,,,
NS Redforce,Icebox,Defence,1,7,0.67,0,3,0.25,40.00%,40.00%,LL,WL,Loss,,,,,,,,,,,,,
Mongolz,Ascent,Defence,0,7,0.67,0,5,0.43,83.33%,28.57%,LL,LL,Draw,,,,,,,,,,,,,
27th March 2025,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolz,Fracture,Attack,1,7,0.58,1,9,0.75,87.50%,50%,WW,WW,Win,,,,,,,,,,,,,
DFM,Ascent,Attack,0,4,0.33,0,3,0.25,66.67%,11%,LL,LL,Loss,,,,,,,,,,,,,
RRQ,Ascent,Defence,0,0,0,1,6,0.5,66.67%,0.00%,WW,LL,Loss,,,,,,,,,,,,,
Paper Rex,Fracture,Attack,1,7,0.58,0,4,0.33,70.00%,22.22%,WW,LL,Loss,,,,,,,,,,,,,
Sherpa,Split,Attack,1,7,0.58,0,5,0.43,87.50%,0.00%,WW,LL,Win,,,,,,,,,,,,,
1st April 2025,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolz,Icebox,Defence,1,11,0.92,1,8,0.67,80.00%,80%,WW,WW,Win,,,,,,,,,,,,,
Kronicle Esports,Ascent,Defence,0,7,0.58,1,8,0.67,100.00%,33.33%,WW,LL,Win,,,,,,,,,,,,,
T1,Icebox,Defence,1,7,0.58,0,5,0.43,50.00%,44.44%,LL,WW,Draw,,,,,,,,,,,,,
T1,Lotus,Defence,1,5,0.42,1,8,0.67,88.89%,13%,WW,WL,Win,,,,,,,,,,,,,
2nd April 2025,,,,,,,,,,,,,,,,,,,,,,,,,,
BOOM,Icebox,Attack,1,6,0.5,0,6,0.5,85.71%,25.00%,WW,LL,Draw,,,,,,,,,,,,,
Kronicle Esports,Ascent,Attack,1,5,0.43,1,11,0.92,55.56%,50.00%,WW,WW,Win,,,,,,,,,,,,,
Sharper Esports,Icebox,Attack,1,7,0.58,1,8,0.67,100.00%,33.33%,WW,WW,Win,,,,,,,,,,,,,
RRQ,Icebox,Defence,0,5,0.43,1,8,0.67,66.67%,22.22%,WW,LL,Win,,,,,,,,,,,,,
DFM,Fracture,Attack,1,7,0.58,1,9,0.75,70.00%,40.00%,WW,WW,Win,,,,,,,,,,,,,
